premise	hypothesis	label	premise_yoruba	hypothesis_yoruba
They are within range,  cried Ogle.	Though he knew that they were within range, Ogle kept it to himself.	2	Êîãäà îíè íå ñëîâà, êîãäà íå ìîæåò áûòü.	Bí ó tilẹ̀ jẹ́ pé ó mọ̀ pé wọ́n wà láàárín àyíká, Ogle pa á sí ara rẹ̀.
I have sent for you, Captain Blood, because of certain news that has just reached me.	I have not heard any news, Captain Blood. Have you?	2	Mo ti rán fun ọ, Captain ẹjẹ, nitori awọn iroyin kan ti o ti de mi.	Emi ko gbọ iroyin eyikeyi, Captain Blood. Ṣe o ni?
I have sent for you, Captain Blood, because of certain news that has just reached me.	I received some news before sending for you, Captain Blood.	0	Mo ti rán fun ọ, Captain ẹjẹ, nitori awọn iroyin kan ti o ti de mi.	Mo ti gba diẹ ninu awọn iroyin ṣaaju ki o to rán fun o, Captain Blood.
I have sent for you, Captain Blood, because of certain news that has just reached me.	The news I received shocked me to the core.	1	Mo ti rán fun ọ, Captain ẹjẹ, nitori awọn iroyin kan ti o ti de mi.	Awọn iroyin ti mo ti gba ni iyanu fun mi si mojuto.
After looking around these collections, climb the hill to the Commissioner's House, where you will find fine views of the surrounding coastline and the rest of the dockyard complex.	You can see boats at the top of the hill.	1	Lẹhin ti o ba wo awọn aworan wọnyi, goke si oke si Ile Igbimọ, nibiti iwọ yoo ri awọn iwo ti o dara ti etikun ti o wa ni ayika ati awọn iyokù ti eka dockyard.	O le wo awọn ọkọ oju omi ni oke oke.
After looking around these collections, climb the hill to the Commissioner's House, where you will find fine views of the surrounding coastline and the rest of the dockyard complex.	You can see views of the coastline at the top of the hill.	0	Lẹhin ti o ba wo awọn aworan wọnyi, goke si oke si Ile Igbimọ, nibiti iwọ yoo ri awọn iwo ti o dara ti etikun ti o wa ni ayika ati awọn iyokù ti eka dockyard.	O le wo awọn oriṣiriṣi oriṣiriṣi oriṣiriṣi oriṣiriṣi oriṣiriṣi ni oke oke.
After looking around these collections, climb the hill to the Commissioner's House, where you will find fine views of the surrounding coastline and the rest of the dockyard complex.	You cannot see the coast from the top of the hill.	2	Lẹhin ti o ba wo awọn aworan wọnyi, goke si oke si Ile Igbimọ, nibiti iwọ yoo ri awọn iwo ti o dara ti etikun ti o wa ni ayika ati awọn iyokù ti eka dockyard.	O ko le ri ibi-afẹde lati oke oke.
Behind the South American area you'll find the Perfume Factory, where you can create your own personal fragrance.	The Perfume Factory has been in production since 1954.	1	Lẹhin awọn South America agbegbe iwọ yoo ri awọn Parfume Factory, ibi ti o ti le ṣẹda ara rẹ ara ẹni fragrance.	Ile-iṣẹ Imọ-ẹrọ ti wa ni iṣelọpọ lati ọdun 1954.
Behind the South American area you'll find the Perfume Factory, where you can create your own personal fragrance.	The Perfume Factory is behind the South African Area.	0	Lẹhin awọn South America agbegbe iwọ yoo ri awọn Parfume Factory, ibi ti o ti le ṣẹda ara rẹ ara ẹni fragrance.	Ile-iṣẹ Parfume wa lẹhin agbegbe South Africa.
Behind the South American area you'll find the Perfume Factory, where you can create your own personal fragrance.	`The Perfume Factory is in front of the South African area.	2	Lẹhin awọn South America agbegbe iwọ yoo ri awọn Parfume Factory, ibi ti o ti le ṣẹda ara rẹ ara ẹni fragrance.	'Ile-iṣẹ Parfume wa ni iwaju agbegbe South Africa.
Hopes were raised, and also fizzled, over Bahamian citrus and pineapple.	Althrough the pineapples tasted great the shipping costs were too high to bring them to market.	1	Awọn ireti ti gbe, ati tun fizzled, lori Bahamian citrus ati pineapple.	Nipa awọn pineapples ti ṣe itọwo nla, awọn idiyele ọkọ oju omi to ga pupọ lati mu wọn lọ si ọja.
Hopes were raised, and also fizzled, over Bahamian citrus and pineapple.	The Bahamian citrus was just a huge success, just as everyone had predicted.	2	Awọn ireti ti gbe, ati tun fizzled, lori Bahamian citrus ati pineapple.	Sibẹsibẹ, o jẹ aṣeyọri nla, gẹgẹbi gbogbo eniyan ti ṣe asọtẹlẹ.
Hopes were raised, and also fizzled, over Bahamian citrus and pineapple.	The Bahamian citrus was not as great as everyone had hoped.	0	Awọn ireti ti gbe, ati tun fizzled, lori Bahamian citrus ati pineapple.	Sibẹsibẹ, awọn ounjẹ ti o wa ni Bahamian ko dara julọ bi gbogbo eniyan ti nireti.
The sound, some 3 km (2 miles) in diameter, is thought to be a huge caldera that formed after a powerful volcanic eruption.	The 2 mile sound could have been caused by many things, including a volcanic eruption.	1	Awọn ohun, diẹ ninu awọn 3 km (2 km) ni opin, ti wa ni ro pe o jẹ kan tobi caldera ti akoso lẹhin kan lagbara volcanic eruption.	Ni ọpọlọpọ igba, o le ni awọn iṣoro, pẹlu iṣelọpọ iṣelọpọ iṣelọpọ iṣelọpọ iṣelọpọ.
The sound, some 3 km (2 miles) in diameter, is thought to be a huge caldera that formed after a powerful volcanic eruption.	The 2 mile sound was definitely not caused by a volcanic eruption.	2	Awọn ohun, diẹ ninu awọn 3 km (2 km) ni opin, ti wa ni ro pe o jẹ kan tobi caldera ti akoso lẹhin kan lagbara volcanic eruption.	Àëåêñàíäðîâàííûé ïîëó÷èëñÿ òàêîé ïîëó÷èëñÿ ïðîñòàâëÿåòñÿ íà ïîëó÷èëñÿ íà ðàáîòó.
The sound, some 3 km (2 miles) in diameter, is thought to be a huge caldera that formed after a powerful volcanic eruption.	The 2 mile sound was probably caused by a volcanic eruption.	0	Awọn ohun, diẹ ninu awọn 3 km (2 km) ni opin, ti wa ni ro pe o jẹ kan tobi caldera ti akoso lẹhin kan lagbara volcanic eruption.	Àëåêñàíäðîâàííûé ïîëó÷èëè ïîëó÷èëè íà ïîëó÷èëè ïîëó÷èëè íà ïîëó÷èëè ïîëó÷èëè ïîëó÷èëè.
There the scene is less relaxed and the language problem might daunt you, but at least you'll be able to catch a glimpse of Chinese consumer society.	It is a good idea to have a translator with you.	1	Nibẹ ni ibi ti wa ni kere sinmi ati awọn ede isoro le daun o, ṣugbọn ni o kere o yoo ni anfani lati yẹ a woye ti Chinese onibara awujọ.	O dara lati ni olutọju pẹlu rẹ.
There the scene is less relaxed and the language problem might daunt you, but at least you'll be able to catch a glimpse of Chinese consumer society.	There is a language problem that might intimidate you.	0	Nibẹ ni ibi ti wa ni kere sinmi ati awọn ede isoro le daun o, ṣugbọn ni o kere o yoo ni anfani lati yẹ a woye ti Chinese onibara awujọ.	Nibẹ ni o wa kan ede isoro ti o le bẹru o.
There the scene is less relaxed and the language problem might daunt you, but at least you'll be able to catch a glimpse of Chinese consumer society.	You do not have to worry about language issues there, since everyone speaks English.	2	Nibẹ ni ibi ti wa ni kere sinmi ati awọn ede isoro le daun o, ṣugbọn ni o kere o yoo ni anfani lati yẹ a woye ti Chinese onibara awujọ.	O ko nilo lati ṣàníyàn nipa awọn ọrọ ede nibẹ, nitori gbogbo eniyan n sọ Gẹẹsi.
Between 1936 and 1940 Greece was under the military dictatorship of Ioannis Metaxas, remembered for the resounding echi ( no ) he gave in reply to Mussolini's ultimatum to surrender in 1940.	Greece has never been ruled by a military dictator.	2	Laarin 1936 ati 1940 Greece wà labẹ awọn ologun ijọba ti Ioannis Metaxas, ranti fun awọn resounding echi (ko si) ti o fi ni idahun si Mussolini ká ultimatum lati fi sile ni 1940.	Gẹ́gẹ́ bí ọ̀kan lára àwọn ológun kò rí ìjọba ilẹ̀ Gẹ̀ẹ́sì.
Between 1936 and 1940 Greece was under the military dictatorship of Ioannis Metaxas, remembered for the resounding echi ( no ) he gave in reply to Mussolini's ultimatum to surrender in 1940.	Greece is one of the countries in the world that has had a dictator.	0	Laarin 1936 ati 1940 Greece wà labẹ awọn ologun ijọba ti Ioannis Metaxas, ranti fun awọn resounding echi (ko si) ti o fi ni idahun si Mussolini ká ultimatum lati fi sile ni 1940.	Gẹẹsi jẹ ọkan ninu awọn orilẹ-ede ni agbaye ti o ni iṣakoso iṣakoso.
Between 1936 and 1940 Greece was under the military dictatorship of Ioannis Metaxas, remembered for the resounding echi ( no ) he gave in reply to Mussolini's ultimatum to surrender in 1940.	Greece's economy did not do so well under the military dictatorship of Metaxas.	1	Laarin 1936 ati 1940 Greece wà labẹ awọn ologun ijọba ti Ioannis Metaxas, ranti fun awọn resounding echi (ko si) ti o fi ni idahun si Mussolini ká ultimatum lati fi sile ni 1940.	Ìṣòro ìṣòro ilẹ̀ Gẹ̀ẹ́sì kò ṣe bẹ́ẹ̀ lábẹ́ ìjọba ológun Metaxas.
The simplicity of Sant Pau's Romanesque lines is an agreeable change from the extravagance of Barcelona's modernisme and the intricacies of Gothic architecture.	Sant Pau does not have Romanesque lines.	2	Awọn iṣọrọ ti awọn ila Romanesque ti Sant Pau jẹ iyipada ti o gbẹkẹle lati extravagance ti modernisme ti Barcelona ati awọn intricacies ti Gothic faaji.	San Francisco ko ni awọn aṣayan ti awọn Romanesque.
The simplicity of Sant Pau's Romanesque lines is an agreeable change from the extravagance of Barcelona's modernisme and the intricacies of Gothic architecture.	Sant Pau has Romanesque lines.	0	Awọn iṣọrọ ti awọn ila Romanesque ti Sant Pau jẹ iyipada ti o gbẹkẹle lati extravagance ti modernisme ti Barcelona ati awọn intricacies ti Gothic faaji.	Sant Pau ni awọn ila Romanesque.
The simplicity of Sant Pau's Romanesque lines is an agreeable change from the extravagance of Barcelona's modernisme and the intricacies of Gothic architecture.	Sant Pau has churches.	1	Awọn iṣọrọ ti awọn ila Romanesque ti Sant Pau jẹ iyipada ti o gbẹkẹle lati extravagance ti modernisme ti Barcelona ati awọn intricacies ti Gothic faaji.	Paulu ni awọn ile ijọsin.
A flick of a tail or fluke, and it's gone.	It is easily intimidated by any sudden movements.	1	Ïðè ðàáîòàåò íà ðàáîòó, êîòîðûé ðàáîòó.	O rọrun lati bẹru nipasẹ eyikeyi awọn iṣoro lẹsẹkẹsẹ.
A flick of a tail or fluke, and it's gone.	It is fearless, and will not be moved by anything.	2	Ïðè ðàáîòàåò íà ðàáîòó, êîòîðûé ðàáîòó.	Ko si ẹru, ko si ẹru, ko si ẹru, ko si ẹru, ko si ẹru.
A flick of a tail or fluke, and it's gone.	The slightest movement and that's it; it is gone.	0	Ïðè ðàáîòàåò íà ðàáîòó, êîòîðûé ðàáîòó.	Ïðè ýòîì ãîâîðèòñÿ, êîòîðûé ìíåíèå;
An extensive program of refurbishment is due to be finished by late 2001.	The refurbishment program will end before the year 2001 begins.	2	Ni ipari ọdun 2001, o yẹ ki o pari eto atunṣe ti o tobi julọ.	Ile-iṣẹ naa yoo pari ṣaaju ki ọdun 2001 bẹrẹ.
An extensive program of refurbishment is due to be finished by late 2001.	The refurbishment program will not be done till well after the year 2000 ends.	0	Ni ipari ọdun 2001, o yẹ ki o pari eto atunṣe ti o tobi julọ.	A kì í ṣe àtúnṣe sílẹ̀ títí di àkókò ìparí ọdún 2000.
An extensive program of refurbishment is due to be finished by late 2001.	When the refurbishment program ends, it will have lasted five years.	1	Ni ipari ọdun 2001, o yẹ ki o pari eto atunṣe ti o tobi julọ.	Lẹhinna, ti o ba pari iṣelọpọ, iṣelọpọ yẹ ki o jẹ ọdun marun.
The staff is working on a program to increase the numbers of flamingos in the US Virgin Islands, and you will find a small flock here successfully breeding each year.	The staff works to eliminate the flamingos.	2	Awọn osise ti wa ni ṣiṣẹ lori eto kan lati mu awọn nọmba ti flamingos ni US Virgin Islands, ati pe iwọ yoo rii agbo kekere kan nibi ti o ni ifijišẹ ni gbogbo ọdun.	Awọn oṣiṣẹ ṣiṣẹ lati yọ awọn flamingos kuro.
The staff is working on a program to increase the numbers of flamingos in the US Virgin Islands, and you will find a small flock here successfully breeding each year.	The staff works to increase how many flamingos are on the island so they can recover from near extinction.	1	Awọn osise ti wa ni ṣiṣẹ lori eto kan lati mu awọn nọmba ti flamingos ni US Virgin Islands, ati pe iwọ yoo rii agbo kekere kan nibi ti o ni ifijišẹ ni gbogbo ọdun.	Awọn oṣiṣẹ n ṣiṣẹ lati mu iye awọn flamingos ti o wa lori erekusu naa ki wọn le bọsipọ lati isubu ti o sunmọ.
The staff is working on a program to increase the numbers of flamingos in the US Virgin Islands, and you will find a small flock here successfully breeding each year.	The staff works to increase how many flamingos are on the island.	0	Awọn osise ti wa ni ṣiṣẹ lori eto kan lati mu awọn nọmba ti flamingos ni US Virgin Islands, ati pe iwọ yoo rii agbo kekere kan nibi ti o ni ifijišẹ ni gbogbo ọdun.	Ile-iṣẹ naa n ṣiṣẹ lati mu iye awọn flamingos ti o wa lori erekusu naa pọ si.
The rugged mountains of the Serra de Tramuntana sweep down to the sea so steeply here that there are few points of access and only one harbor and port of any size along the coast.	The mountains constantly have landslides for the harbors aren't easily built there.	1	Awọn oke-nla ti Serra de Tramuntana ti n ṣubu si okun nitorina ni kiakia nibi ti o ni awọn aaye diẹ ti wiwọle ati ọkọ oju omi ọkọ ofurufu kan nikan ati ibudo ti iwọn eyikeyi pẹlú etikun.	Awọn oke-nla nigbagbogbo ni awọn ilẹ-ilẹ fun awọn ibudo ti ko ni rọọrun kọ nibẹ.
The rugged mountains of the Serra de Tramuntana sweep down to the sea so steeply here that there are few points of access and only one harbor and port of any size along the coast.	The mountains make it hard to build harbors.	0	Awọn oke-nla ti Serra de Tramuntana ti n ṣubu si okun nitorina ni kiakia nibi ti o ni awọn aaye diẹ ti wiwọle ati ọkọ oju omi ọkọ ofurufu kan nikan ati ibudo ti iwọn eyikeyi pẹlú etikun.	Awọn oke-nla nira lati ṣẹda awọn ibudo.
The rugged mountains of the Serra de Tramuntana sweep down to the sea so steeply here that there are few points of access and only one harbor and port of any size along the coast.	There are 27 harbors along the mountains	2	Awọn oke-nla ti Serra de Tramuntana ti n ṣubu si okun nitorina ni kiakia nibi ti o ni awọn aaye diẹ ti wiwọle ati ọkọ oju omi ọkọ ofurufu kan nikan ati ibudo ti iwọn eyikeyi pẹlú etikun.	Awọn ọkọ ayọkẹlẹ 27 wa pẹlu awọn oke-nla.
Culebra was known as the Spanish Virgin Island until the American takeover it lies halfway between Puerto Rico and St. Thomas in the US Virgin Islands.	Culebra is halfway between Puerto Rico and St. Thomas in the US Virgin Islands.	0	Culebra ni a mọ ni Spanish Virgin Island titi ti awọn American gba o wa ni idaji laarin Puerto Rico ati St. Thomas ni US Virgin Islands.	Culebra jẹ idaji ila laarin Puerto Rico ati St. Thomas ni Awọn erekusu Virgin ti Amẹrika.
Culebra was known as the Spanish Virgin Island until the American takeover it lies halfway between Puerto Rico and St. Thomas in the US Virgin Islands.	Culebra is located nowhere near Puerto Rico and St. Thomas in the US Virgin Islands.	2	Culebra ni a mọ ni Spanish Virgin Island titi ti awọn American gba o wa ni idaji laarin Puerto Rico ati St. Thomas ni US Virgin Islands.	Culebra ko wa nitosi Puerto Rico ati St. Thomas ni awọn US Virgin Islands.
Culebra was known as the Spanish Virgin Island until the American takeover it lies halfway between Puerto Rico and St. Thomas in the US Virgin Islands.	Culebra is somewhere between Puerto Rico and St. Thomas in the US Virgin Islands.	1	Culebra ni a mọ ni Spanish Virgin Island titi ti awọn American gba o wa ni idaji laarin Puerto Rico ati St. Thomas ni US Virgin Islands.	Culebra jẹ ibikan laarin Puerto Rico ati St. Thomas ni awọn US Virgin Islands.
Umeda marks the northern end of the business and entertainment district popularly known as Kita (meaning simply  North ), and is the very essence of modern Osaka's hustle and bustle.	Umeda is not part of the entertainment district.	2	Umeda ṣe afihan opin ariwa ti agbegbe iṣowo ati idanilaraya ti a mọ julọ bi Kita (ti o tumọ si nìkan North ), ati pe o jẹ pataki pataki ti iṣoro ati iṣoro Osaka ti igbalode.	Umeda ko jẹ apakan ti agbegbe idanilaraya.
Umeda marks the northern end of the business and entertainment district popularly known as Kita (meaning simply  North ), and is the very essence of modern Osaka's hustle and bustle.	Umeda is the largest part of the entertainment district.	1	Umeda ṣe afihan opin ariwa ti agbegbe iṣowo ati idanilaraya ti a mọ julọ bi Kita (ti o tumọ si nìkan North ), ati pe o jẹ pataki pataki ti iṣoro ati iṣoro Osaka ti igbalode.	Umeda jẹ apakan ti o tobi julọ ti agbegbe idanilaraya.
Umeda marks the northern end of the business and entertainment district popularly known as Kita (meaning simply  North ), and is the very essence of modern Osaka's hustle and bustle.	Umeda is the north end of the entertainment district.	0	Umeda ṣe afihan opin ariwa ti agbegbe iṣowo ati idanilaraya ti a mọ julọ bi Kita (ti o tumọ si nìkan North ), ati pe o jẹ pataki pataki ti iṣoro ati iṣoro Osaka ti igbalode.	Umeda ni ariwa opin ti awọn Idanilaraya DISTRICT.
The third member of the Hindu  trinity  is Brahma, whose only task was to create the world.	Brahma is a Christian apostle.	2	Ẹgbẹ kẹta ti Triniti Hindu ni Brahma, ti iṣẹ-ṣiṣe rẹ nikan ni lati ṣẹda aye.	Brahma jẹ aposteli Kristiani kan.
The third member of the Hindu  trinity  is Brahma, whose only task was to create the world.	Brahma is part of the Hindu trinity.	0	Ẹgbẹ kẹta ti Triniti Hindu ni Brahma, ti iṣẹ-ṣiṣe rẹ nikan ni lati ṣẹda aye.	Brahma jẹ apakan ti Triniti Hindu.
The third member of the Hindu  trinity  is Brahma, whose only task was to create the world.	Brahma is the most important part of the trinity.	1	Ẹgbẹ kẹta ti Triniti Hindu ni Brahma, ti iṣẹ-ṣiṣe rẹ nikan ni lati ṣẹda aye.	Brahma jẹ apakan ti o ṣe pataki julọ ti Triniti.
Pedro took the throne, though armed struggle continued for months and the lingering bitterness long after that.	10000 people died in the war.	1	Pedro gba ijọba naa, botilẹjẹpe igbadun pẹlu awọn ologun tẹsiwaju fun awọn oṣu ati igbadun igbadun igba pipẹ lẹhinna.	Ẹgbẹ̀rún mẹ́wàá ló kú nínú ogun náà.
Pedro took the throne, though armed struggle continued for months and the lingering bitterness long after that.	The war was months long.	0	Pedro gba ijọba naa, botilẹjẹpe igbadun pẹlu awọn ologun tẹsiwaju fun awọn oṣu ati igbadun igbadun igba pipẹ lẹhinna.	Ogun naa jẹ ọpọlọpọ awọn oṣu.
Pedro took the throne, though armed struggle continued for months and the lingering bitterness long after that.	The war was over in just a day.	2	Pedro gba ijọba naa, botilẹjẹpe igbadun pẹlu awọn ologun tẹsiwaju fun awọn oṣu ati igbadun igbadun igba pipẹ lẹhinna.	Ogun naa pari ni ọjọ kan nikan.
Human resources systems were consolidated and new corporate structures were quickly defined to ensure continued support to the enlarged customer base.	By consolidating human resources systems, room was created for new corporate structures.	1	Awọn ọna ti awọn ohun elo eniyan ti ni ilọsiwaju ati pe a ṣe apejuwe awọn ẹya ile-iṣẹ tuntun ni kiakia lati rii daju atilẹyin tẹsiwaju si ipilẹ alabara ti o tobi.	Nipa ṣiṣatunkọ awọn ile-iṣẹ, a ṣẹda awọn ile-iṣẹ tuntun fun awọn ile-iṣẹ tuntun.
Human resources systems were consolidated and new corporate structures were quickly defined to ensure continued support to the enlarged customer base.	Corporate structures were created.	0	Awọn ọna ti awọn ohun elo eniyan ti ni ilọsiwaju ati pe a ṣe apejuwe awọn ẹya ile-iṣẹ tuntun ni kiakia lati rii daju atilẹyin tẹsiwaju si ipilẹ alabara ti o tobi.	Awọn ile-iṣẹ ile-iṣẹ ni a ṣẹda.
Human resources systems were consolidated and new corporate structures were quickly defined to ensure continued support to the enlarged customer base.	Human resource systems were expanded beyond their previous state.	2	Awọn ọna ti awọn ohun elo eniyan ti ni ilọsiwaju ati pe a ṣe apejuwe awọn ẹya ile-iṣẹ tuntun ni kiakia lati rii daju atilẹyin tẹsiwaju si ipilẹ alabara ti o tobi.	Wọ́n gbé àwọn ètò ẹ̀rọ-ayárabíàṣá jù lọ ní ìpínlẹ̀ wọn tẹ́lẹ̀.
Although funding strategies can be improved, funding is available for this work.	There are resources available for these tasks.	0	Biotilẹjẹpe a le ṣe iṣeduro iṣeduro iṣowo yii, a le ṣe iṣeduro iṣeduro iṣowo yii.	Nibẹ ni o wa awọn ohun elo fun awọn iṣẹ wọnyi.
Although funding strategies can be improved, funding is available for this work.	There is no available funding for the work.	2	Biotilẹjẹpe a le ṣe iṣeduro iṣeduro iṣowo yii, a le ṣe iṣeduro iṣeduro iṣowo yii.	Ko si owo fun iṣẹ naa.
Although funding strategies can be improved, funding is available for this work.	There is not enough funding for the work.	1	Biotilẹjẹpe a le ṣe iṣeduro iṣeduro iṣowo yii, a le ṣe iṣeduro iṣeduro iṣowo yii.	Ko si awọn owo to dara fun iṣẹ naa.
The statistics on rural routes presented in this paper are based on the 1989 National Mail Count data.c	The statistics in this paper are based on a 2001 report.	2	Awọn iṣiro lori awọn ọna ilu ti a gbekalẹ ninu iwe yii da lori 1989 National Mail Count data.c	Iroyin ti o wa ninu iwe yii da lori iroyin ti ọdun 2001.
The statistics on rural routes presented in this paper are based on the 1989 National Mail Count data.c	The statistics in this paper are outdated.	1	Awọn iṣiro lori awọn ọna ilu ti a gbekalẹ ninu iwe yii da lori 1989 National Mail Count data.c	Awọn iṣiro ti o wa ninu iwe yii jẹ igba atijọ.
The statistics on rural routes presented in this paper are based on the 1989 National Mail Count data.c	This paper includes data on rural routes.	0	Awọn iṣiro lori awọn ọna ilu ti a gbekalẹ ninu iwe yii da lori 1989 National Mail Count data.c	Àwọn ojúewé wọ̀nyí jápọ̀ mọ́ àwọn ọ̀nà ìlú:
Executives could also receive a rating of provisional or fail for each element.	Each element the executive is tested on could result in different ratings.	0	Pẹlupẹlu, awọn oludari le ṣe iṣeduro iṣeduro iṣeduro tabi iṣeduro iṣeduro fun kọọkan.	Olukọni kọọkan ti o ni imọran ti o ni imọran ti o ni imọran le ṣe awọn iṣeduro oriṣiriṣi.
Executives could also receive a rating of provisional or fail for each element.	Executives can't fail.	2	Pẹlupẹlu, awọn oludari le ṣe iṣeduro iṣeduro iṣeduro tabi iṣeduro iṣeduro fun kọọkan.	Awọn oludari ko le ṣubu.
Executives could also receive a rating of provisional or fail for each element.	Executives must get rated well in order to continue.	1	Pẹlupẹlu, awọn oludari le ṣe iṣeduro iṣeduro iṣeduro tabi iṣeduro iṣeduro fun kọọkan.	Awọn oludari gbọdọ wa ni oye daradara lati tẹsiwaju.
A subject that is discussed during the entry interview is the household's reaction to advertising mail.	Disagreeing in the entry interview won't get you the job.	1	Ọkan ninu awọn akọsilẹ ti a ṣe akiyesi nigba ibaraẹnisọrọ ni iṣeduro iṣeduro ti ile-iṣẹ.	Ṣiṣi iwe ifowopamọ rẹ ko gba ọ laaye lati ṣiṣẹ.
A subject that is discussed during the entry interview is the household's reaction to advertising mail.	The entry interview doesn't mention anything about advertising mail.	2	Ọkan ninu awọn akọsilẹ ti a ṣe akiyesi nigba ibaraẹnisọrọ ni iṣeduro iṣeduro ti ile-iṣẹ.	Iwe iroyin ko ṣe apejuwe ohunkohun nipa ipolowo ipolowo.
A subject that is discussed during the entry interview is the household's reaction to advertising mail.	The entry interview includes a bit about how people react to advertising mail.	0	Ọkan ninu awọn akọsilẹ ti a ṣe akiyesi nigba ibaraẹnisọrọ ni iṣeduro iṣeduro ti ile-iṣẹ.	Ni afikun, a ṣe apejuwe bi awọn eniyan ṣe n ṣatunṣe ipolowo ipolowo.
189 and the user costs are estimated in the same way.	They guessed about the user cost.	0	Ni ọna kanna, a ṣe iṣiro awọn idiyele ti awọn olumulo ni ọna kanna.	Wọn ro nipa iye owo ti awọn olumulo.
189 and the user costs are estimated in the same way.	They guessed the user costs were $10000.	1	Ni ọna kanna, a ṣe iṣiro awọn idiyele ti awọn olumulo ni ọna kanna.	Wọn ro pe awọn idiyele ti awọn olumulo jẹ $ 10,000.
189 and the user costs are estimated in the same way.	They knew the exact user costs.	2	Ni ọna kanna, a ṣe iṣiro awọn idiyele ti awọn olumulo ni ọna kanna.	Wọn mọ awọn idiyele gangan ti awọn olumulo.
For example, in GGD, a design study was done as a separate job, culminating	A design study never occurred.	2	Fun apẹẹrẹ, ni GGD, a ṣe iwadi oniru bi iṣẹ ti o yatọ, culminating	Iwadi apẹrẹ ko ṣẹlẹ.
For example, in GGD, a design study was done as a separate job, culminating	A design study was conducted in isolation.	0	Fun apẹẹrẹ, ni GGD, a ṣe iwadi oniru bi iṣẹ ti o yatọ, culminating	A ṣe iwadi apẹrẹ ni iyasọtọ.
For example, in GGD, a design study was done as a separate job, culminating	The design study was not successful.	1	Fun apẹẹrẹ, ni GGD, a ṣe iwadi oniru bi iṣẹ ti o yatọ, culminating	Iwadi iwadi naa ko ni aṣeyọri.
All nine responding agencies report participation in a	Only two of the nine agencies bothered to respond to our questions about participation.	2	Gbogbo awọn ile-iṣẹ mẹsan ti o dahun iroyin ifowosowopo ninu a	Nikan meji ninu awọn ile-iṣẹ mẹsan ti o ni iṣoro lati dahun awọn ibeere wa nipa ikopa.
All nine responding agencies report participation in a	There were nine agencies that responded affirmatively that they participated.	0	Gbogbo awọn ile-iṣẹ mẹsan ti o dahun iroyin ifowosowopo ninu a	Àwọn ilé-iṣẹ́ mẹ́sàn-án ni wọ́n dáhùn pé wọ́n kópa.
All nine responding agencies report participation in a	These nine agencies are pleased that they had such a high participation level.	1	Gbogbo awọn ile-iṣẹ mẹsan ti o dahun iroyin ifowosowopo ninu a	Àwọn ilé-iṣẹ́ mẹ́sàn-án wọ̀nyí dùn pé wọ́n ní ìpele tí ó pọ̀ jùlọ.
Since 1996, households' wealthincome ratio has increased rapidly-peaking at 6.4 in 1999.	Households all earned $10000 more last year.	1	Â 1996 ãîäó ïðîñòàâëÿåòñÿ íà ðàáîòó ðàáîòàåòñÿ íà ðàáîòó ðàáîòàåòñÿ íà ðàáîòó ðàáîòàåòñÿ íà ðàáîòó 6.4 ðóáëåé.	Gbogbo awọn ile gba $ 10,000 diẹ sii ni ọdun to koja.
Since 1996, households' wealthincome ratio has increased rapidly-peaking at 6.4 in 1999.	Households have been losing a lot of wealth.	2	Â 1996 ãîäó ïðîñòàâëÿåòñÿ íà ðàáîòó ðàáîòàåòñÿ íà ðàáîòó ðàáîòàåòñÿ íà ðàáîòó ðàáîòàåòñÿ íà ðàáîòó 6.4 ðóáëåé.	Awọn ile-iṣẹ ti padanu ọpọlọpọ awọn ohun-ini.
Since 1996, households' wealthincome ratio has increased rapidly-peaking at 6.4 in 1999.	Households have gotten a lot more wealthincome ratio.	0	Â 1996 ãîäó ïðîñòàâëÿåòñÿ íà ðàáîòó ðàáîòàåòñÿ íà ðàáîòó ðàáîòàåòñÿ íà ðàáîòó ðàáîòàåòñÿ íà ðàáîòó 6.4 ðóáëåé.	Awọn ile-iṣẹ ti ni iye owo pupọ diẹ sii.
In the subclass approach, the basic and the workshare category are each given a percentage markup over cost, in order to obtain their average rate.	The basic category is more than cost.	0	Ni awọn subclass ona, awọn ipilẹ ati awọn workshare ẹka ti wa ni kọọkan fun a ogorun markup lori iye owo, ni ibere lati gba won apapọ oṣuwọn.	Ipilẹ ipilẹ jẹ diẹ sii ju iye owo lọ.
In the subclass approach, the basic and the workshare category are each given a percentage markup over cost, in order to obtain their average rate.	The price is 10% more than cost.	1	Ni awọn subclass ona, awọn ipilẹ ati awọn workshare ẹka ti wa ni kọọkan fun a ogorun markup lori iye owo, ni ibere lati gba won apapọ oṣuwọn.	Iye owo naa jẹ 10% diẹ sii ju iye owo.
In the subclass approach, the basic and the workshare category are each given a percentage markup over cost, in order to obtain their average rate.	The price is always less than cost.	2	Ni awọn subclass ona, awọn ipilẹ ati awọn workshare ẹka ti wa ni kọọkan fun a ogorun markup lori iye owo, ni ibere lati gba won apapọ oṣuwọn.	Iye owo jẹ nigbagbogbo kere ju iye owo.
19 Assuming four months of work prior to contract award, a total elapsed time of 13 months would have been necessary to retrofit this 675 MWe boiler.	It only took two months to retrofit it.	2	19 Ronu osu mẹrin ti iṣẹ ṣaaju ki o to adehun ẹbun, a lapapọ elapsed akoko ti 13 osu yoo ti jẹ pataki lati retrofit yi 675 MWe boiler.	O gba oṣu meji nikan lati ṣe atunṣe.
